sample_id	gene_id	seq_loc	description
SAMPLE_000108	FRAG_000108	hg19:1:198720018-198744026:-	24009
SAMPLE_000109	FRAG_000109	hg38:14:198315504-198403809:+	88306
SAMPLE_000110	FRAG_000110	hg19:9:189247930-189269295:+	21366
SAMPLE_000111	FRAG_000111	hg38:13:127349890-127355464:+	5575
SAMPLE_000112	FRAG_000112	hg19:7:94860718-94921549:-	60832
SAMPLE_000113	FRAG_000113	hg38:8:7352373-7382091:+	29719
SAMPLE_000114	FRAG_000114	hg19:13:75786938-75830462:+	43525
SAMPLE_000115	FRAG_000115	hg38:9:173196443-173242967:-	46525
SAMPLE_000116	FRAG_000116	hg19:22:89892365-89963146:+	70782
SAMPLE_000117	FRAG_000117	hg38:4:48933933-48968669:-	34737
SAMPLE_000118	FRAG_000118	hg19:2:161140876-161155583:-	14708
SAMPLE_000119	FRAG_000119	hg38:12:85202113-85298103:-	95991
SAMPLE_000120	FRAG_000120	hg19:20:32043429-32110961:-	67533
SAMPLE_000121	FRAG_000121	hg38:19:69376552-69401965:+	25414
SAMPLE_000122	FRAG_000122	hg19:X:1453998-1511651:+	57654
SAMPLE_000123	FRAG_000123	hg38:12:19783450-19840480:-	57031
SAMPLE_000124	FRAG_000124	hg19:20:179076718-179118362:+	41645
SAMPLE_000125	FRAG_000125	hg38:Y:137129661-137169523:-	39863
SAMPLE_000126	FRAG_000126	hg19:22:88559056-88613083:-	54028
SAMPLE_000127	FRAG_000127	hg38:X:149823967-149863218:+	39252
SAMPLE_000128	FRAG_000128	hg19:7:179490634-179546241:-	55608
SAMPLE_000129	FRAG_000129	hg38:22:47715108-47813666:-	98559
SAMPLE_000130	FRAG_000130	hg19:13:1108968-1181286:-	72319
SAMPLE_000131	FRAG_000131	hg38:10:116397220-116425268:-	28049
SAMPLE_000132	FRAG_000132	hg19:15:119691366-119749770:+	58405
SAMPLE_000133	FRAG_000133	hg38:17:198558147-198620667:+	62521
SAMPLE_000134	FRAG_000134	hg19:22:77178333-77189946:-	11614
SAMPLE_000135	FRAG_000135	hg38:3:64047058-64146010:-	98953
SAMPLE_000136	FRAG_000136	hg19:8:40555028-40581627:+	26600
SAMPLE_000137	FRAG_000137	hg38:2:128543440-128576031:+	32592
SAMPLE_000138	FRAG_000138	hg19:15:170051357-170106177:+	54821
SAMPLE_000139	FRAG_000139	hg38:X:104073435-104165206:-	91772
SAMPLE_000140	FRAG_000140	hg19:13:40613380-40645858:+	32479
SAMPLE_000141	FRAG_000141	hg38:4:59744720-59800943:+	56224
SAMPLE_000142	FRAG_000142	hg19:X:125701661-125770049:+	68389
SAMPLE_000143	FRAG_000143	hg38:18:33576951-33610112:-	33162
SAMPLE_000144	FRAG_000144	hg19:5:180201532-180262932:-	61401
SAMPLE_000145	FRAG_000145	hg38:15:194078632-194159432:-	80801
SAMPLE_000146	FRAG_000146	hg19:18:43723624-43782569:-	58946
SAMPLE_000147	FRAG_000147	hg38:15:67367911-67402382:-	34472
SAMPLE_000148	FRAG_000148	hg19:17:169241502-169305518:+	64017
SAMPLE_000149	FRAG_000149	hg38:9:21799279-21857432:-	58154
SAMPLE_000150	FRAG_000150	hg19:8:91153387-91189500:-	36114
SAMPLE_000151	FRAG_000151	hg38:18:38144504-38155564:+	11061
SAMPLE_000152	FRAG_000152	hg19:8:187280735-187331439:+	50705
SAMPLE_000153	FRAG_000153	hg38:X:18241301-18269843:-	28543
SAMPLE_000154	FRAG_000154	hg19:14:146656069-146699937:-	43869
SAMPLE_000155	FRAG_000155	hg38:14:56521683-56530343:-	8661
SAMPLE_000156	FRAG_000156	hg19:13:187703030-187780085:+	77056
SAMPLE_000157	FRAG_000157	hg38:19:129038272-129088628:+	50357
SAMPLE_000158	FRAG_000158	hg19:12:105686243-105725881:-	39639
SAMPLE_000159	FRAG_000159	hg38:18:198201829-198300306:+	98478
SAMPLE_000160	FRAG_000160	hg19:16:74265515-74294774:-	29260
SAMPLE_000161	FRAG_000161	hg38:16:105383060-105387363:-	4304
SAMPLE_000162	FRAG_000162	hg19:22:109532929-109622444:+	89516
SAMPLE_000163	FRAG_000163	hg38:15:168035831-168053058:+	17228
SAMPLE_000164	FRAG_000164	hg19:13:152502819-152580898:+	78080
SAMPLE_000165	FRAG_000165	hg38:3:116054864-116139609:+	84746
SAMPLE_000166	FRAG_000166	hg19:15:14498178-14522496:-	24319
SAMPLE_000167	FRAG_000167	hg38:13:57817125-57860530:-	43406
SAMPLE_000168	FRAG_000168	hg19:11:102770918-102815653:-	44736
SAMPLE_000169	FRAG_000169	hg38:14:22986536-23020100:-	33565
SAMPLE_000170	FRAG_000170	hg19:1:145799199-145897874:+	98676
SAMPLE_000171	FRAG_000171	hg38:12:175521727-175551615:+	29889
SAMPLE_000172	FRAG_000172	hg19:21:9329551-9335326:+	5776
SAMPLE_000173	FRAG_000173	hg38:7:167788520-167791690:+	3171
SAMPLE_000174	FRAG_000174	hg19:8:128120579-128137622:+	17044
SAMPLE_000175	FRAG_000175	hg38:19:125831609-125860677:-	29069
SAMPLE_000176	FRAG_000176	hg19:12:163643081-163665572:+	22492
SAMPLE_000177	FRAG_000177	hg38:6:30017537-30058804:+	41268
SAMPLE_000178	FRAG_000178	hg19:10:182824027-182899996:-	75970
SAMPLE_000179	FRAG_000179	hg38:13:54238744-54332961:+	94218
SAMPLE_000180	FRAG_000180	hg19:19:169374098-169465117:+	91020
SAMPLE_000181	FRAG_000181	hg38:4:81955484-82047365:+	91882
SAMPLE_000182	FRAG_000182	hg19:19:94201800-94207682:-	5883
SAMPLE_000183	FRAG_000183	hg38:22:19510432-19559502:-	49071
SAMPLE_000184	FRAG_000184	hg19:1:132587518-132643074:+	55557
SAMPLE_000185	FRAG_000185	hg38:14:171613577-171661548:-	47972
SAMPLE_000186	FRAG_000186	hg19:X:117900190-117920741:+	20552
SAMPLE_000187	FRAG_000187	hg38:Y:175605833-175674718:-	68886
SAMPLE_000188	FRAG_000188	hg19:20:130787873-130858911:-	71039
SAMPLE_000189	FRAG_000189	hg38:14:160041194-160137510:-	96317
SAMPLE_000190	FRAG_000190	hg19:11:24263394-24296070:-	32677
SAMPLE_000191	FRAG_000191	hg38:15:125744229-125776691:-	32463
SAMPLE_000192	FRAG_000192	hg19:11:133689390-133693650:-	4261
SAMPLE_000193	FRAG_000193	hg38:6:57940488-58004891:-	64404
SAMPLE_000194	FRAG_000194	hg19:9:76070252-76115359:-	45108
SAMPLE_000195	FRAG_000195	hg38:18:139681071-139682900:+	1830
SAMPLE_000196	FRAG_000196	hg19:3:194293571-194325705:-	32135
SAMPLE_000197	FRAG_000197	hg38:16:65511464-65584731:-	73268
SAMPLE_000198	FRAG_000198	hg19:21:132753848-132847649:-	93802
SAMPLE_000199	FRAG_000199	hg38:1:79983262-79995957:+	12696
SAMPLE_000200	FRAG_000200	hg19:13:66311732-66402904:-	91173
SAMPLE_000201	FRAG_000201	hg38:22:100058173-100134897:-	76725
SAMPLE_000202	FRAG_000202	hg19:18:93276672-93346759:-	70088
SAMPLE_000203	FRAG_000203	hg38:Y:89796113-89868752:-	72640
SAMPLE_000204	FRAG_000204	hg19:X:73723574-73783546:-	59973
SAMPLE_000205	FRAG_000205	hg38:9:33388316-33419032:+	30717
SAMPLE_000206	FRAG_000206	hg19:11:144844886-144861055:+	16170
SAMPLE_000207	FRAG_000207	hg38:7:199267676-199296536:-	28861
SAMPLE_000208	FRAG_000208	hg19:9:159266029-159361500:-	95472
SAMPLE_000209	FRAG_000209	hg38:4:80523054-80548996:+	25943
SAMPLE_000210	FRAG_000210	hg19:12:82139339-82163357:+	24019
SAMPLE_000211	FRAG_000211	hg38:X:34979354-35049863:-	70510
SAMPLE_000212	FRAG_000212	hg19:2:149541166-149548811:-	7646
SAMPLE_000213	FRAG_000213	hg38:X:172226831-172243881:-	17051
SAMPLE_000214	FRAG_000214	hg19:4:155099191-155101297:-	2107
SAMPLE_000215	FRAG_000215	hg38:16:119237443-119300688:-	63246
SAMPLE_000216	FRAG_000216	hg19:6:68774150-68781383:-	7234
SAMPLE_000217	FRAG_000217	hg38:4:108564084-108573147:-	9064
SAMPLE_000218	FRAG_000218	hg19:3:169965544-170041674:+	76131
SAMPLE_000219	FRAG_000219	hg38:5:152086102-152106156:-	20055
SAMPLE_000220	FRAG_000220	hg19:3:32796599-32829628:-	33030
SAMPLE_000221	FRAG_000221	hg38:20:167005412-167084046:+	78635
SAMPLE_000222	FRAG_000222	hg19:17:121934054-121984409:-	50356
SAMPLE_000223	FRAG_000223	hg38:10:116113132-116190770:-	77639
SAMPLE_000224	FRAG_000224	hg19:19:17167949-17249847:+	81899
SAMPLE_000225	FRAG_000225	hg38:7:57646645-57729131:-	82487
SAMPLE_000226	FRAG_000226	hg19:22:43159692-43170832:+	11141
SAMPLE_000227	FRAG_000227	hg38:6:21150073-21222922:+	72850
SAMPLE_000228	FRAG_000228	hg19:1:121931166-121985210:-	54045
SAMPLE_000229	FRAG_000229	hg38:10:63136428-63141205:-	4778
SAMPLE_000230	FRAG_000230	hg19:X:189706784-189744339:-	37556
SAMPLE_000231	FRAG_000231	hg38:3:63659224-63749819:-	90596
SAMPLE_000232	FRAG_000232	hg19:21:178484970-178562773:+	77804
SAMPLE_000233	FRAG_000233	hg38:14:147179851-147195393:+	15543
SAMPLE_000234	FRAG_000234	hg19:21:72305173-72325200:+	20028
SAMPLE_000235	FRAG_000235	hg38:3:45539558-45547873:-	8316
SAMPLE_000236	FRAG_000236	hg19:20:153795352-153894018:-	98667
SAMPLE_000237	FRAG_000237	hg38:15:126815152-126831950:-	16799
SAMPLE_000238	FRAG_000238	hg19:X:74080530-74133786:-	53257
SAMPLE_000239	FRAG_000239	hg38:15:161534244-161545286:+	11043
SAMPLE_000240	FRAG_000240	hg19:14:87522540-87619315:-	96776
SAMPLE_000241	FRAG_000241	hg38:1:62451429-62463898:+	12470
SAMPLE_000242	FRAG_000242	hg19:22:155685122-155720946:+	35825
SAMPLE_000243	FRAG_000243	hg38:6:140308294-140370462:-	62169
SAMPLE_000244	FRAG_000244	hg19:9:158123224-158147511:-	24288
SAMPLE_000245	FRAG_000245	hg38:21:25492696-25557646:-	64951
SAMPLE_000246	FRAG_000246	hg19:12:90471791-90525813:-	54023
SAMPLE_000247	FRAG_000247	hg38:22:44171093-44185302:-	14210
SAMPLE_000248	FRAG_000248	hg19:14:134001453-134092873:-	91421
SAMPLE_000249	FRAG_000249	hg38:22:148665435-148718422:+	52988
SAMPLE_000250	FRAG_000250	hg19:15:85427556-85439597:-	12042
SAMPLE_000251	FRAG_000251	hg38:11:109494915-109510608:+	15694
SAMPLE_000252	FRAG_000252	hg19:22:125010831-125082448:-	71618
SAMPLE_000253	FRAG_000253	hg38:2:140167515-140192600:-	25086
SAMPLE_000254	FRAG_000254	hg19:20:134813222-134912869:-	99648
SAMPLE_000255	FRAG_000255	hg38:2:72687363-72714542:+	27180
SAMPLE_000256	FRAG_000256	hg19:10:188435065-188492988:-	57924
SAMPLE_000257	FRAG_000257	hg38:4:170120316-170124598:+	4283
SAMPLE_000258	FRAG_000258	hg19:X:84416355-84437612:+	21258
SAMPLE_000259	FRAG_000259	hg38:18:26020655-26074630:+	53976
SAMPLE_000260	FRAG_000260	hg19:4:32532078-32593059:+	60982
SAMPLE_000261	FRAG_000261	hg38:16:79345990-79440415:-	94426
SAMPLE_000262	FRAG_000262	hg19:14:127760532-127824273:+	63742
SAMPLE_000263	FRAG_000263	hg38:15:39827032-39899786:-	72755
SAMPLE_000264	FRAG_000264	hg19:7:137429875-137508935:+	79061
SAMPLE_000265	FRAG_000265	hg38:3:112385258-112421965:-	36708
SAMPLE_000266	FRAG_000266	hg19:17:1688606-1724123:-	35518
SAMPLE_000267	FRAG_000267	hg38:Y:158554894-158594525:-	39632
SAMPLE_000268	FRAG_000268	hg19:5:145574123-145633151:-	59029
SAMPLE_000269	FRAG_000269	hg38:12:149154203-149198275:-	44073
SAMPLE_000270	FRAG_000270	hg19:15:51640985-51683660:+	42676
SAMPLE_000271	FRAG_000271	hg38:19:63696440-63747135:-	50696
SAMPLE_000272	FRAG_000272	hg19:2:127963594-128005797:-	42204
SAMPLE_000273	FRAG_000273	hg38:13:176025017-176112507:+	87491
SAMPLE_000274	FRAG_000274	hg19:16:34888974-34894325:-	5352
SAMPLE_000275	FRAG_000275	hg38:4:27766155-27824365:-	58211
SAMPLE_000276	FRAG_000276	hg19:1:39696424-39791615:-	95192
SAMPLE_000277	FRAG_000277	hg38:21:21086555-21107286:-	20732
SAMPLE_000278	FRAG_000278	hg19:9:168304921-168349795:-	44875
SAMPLE_000279	FRAG_000279	hg38:21:89198652-89209678:-	11027
SAMPLE_000280	FRAG_000280	hg19:11:193929239-194011893:-	82655
SAMPLE_000281	FRAG_000281	hg38:18:166748012-166753216:+	5205
SAMPLE_000282	FRAG_000282	hg19:8:184717110-184800336:-	83227
SAMPLE_000283	FRAG_000283	hg38:8:25261017-25359396:-	98380
SAMPLE_000284	FRAG_000284	hg19:4:189949255-190032820:+	83566
SAMPLE_000285	FRAG_000285	hg38:15:187294518-187316822:-	22305
SAMPLE_000286	FRAG_000286	hg19:1:88073661-88080188:+	6528
SAMPLE_000287	FRAG_000287	hg38:10:101620638-101668121:-	47484
SAMPLE_000288	FRAG_000288	hg19:5:143583873-143616379:-	32507
SAMPLE_000289	FRAG_000289	hg38:19:49333653-49423516:+	89864
SAMPLE_000290	FRAG_000290	hg19:6:164609205-164620054:-	10850
SAMPLE_000291	FRAG_000291	hg38:20:65647255-65737293:-	90039
SAMPLE_000292	FRAG_000292	hg19:19:63327610-63346867:-	19258
SAMPLE_000293	FRAG_000293	hg38:21:124365016-124398804:-	33789
SAMPLE_000294	FRAG_000294	hg19:22:125890469-125892199:-	1731
SAMPLE_000295	FRAG_000295	hg38:22:43406259-43478401:+	72143
SAMPLE_000296	FRAG_000296	hg19:15:158725078-158770870:-	45793
SAMPLE_000297	FRAG_000297	hg38:21:186304622-186360736:-	56115
SAMPLE_000298	FRAG_000298	hg19:15:54476905-54517003:-	40099
SAMPLE_000299	FRAG_000299	hg38:16:64674421-64688899:-	14479
SAMPLE_000300	FRAG_000300	hg19:19:155299903-155347451:-	47549
SAMPLE_000301	FRAG_000301	hg38:X:6889365-6928560:-	39196
SAMPLE_000302	FRAG_000302	hg19:9:152915413-152916973:+	1561
SAMPLE_000303	FRAG_000303	hg38:20:134339215-134437385:-	98171
SAMPLE_000304	FRAG_000304	hg19:8:95575436-95655504:+	80069
SAMPLE_000305	FRAG_000305	hg38:21:167669203-167694622:-	25420
SAMPLE_000306	FRAG_000306	hg19:22:194522737-194622271:+	99535
SAMPLE_000307	FRAG_000307	hg38:21:169432003-169445237:+	13235
SAMPLE_000308	FRAG_000308	hg19:10:9956222-10014500:-	58279
SAMPLE_000309	FRAG_000309	hg38:Y:25194993-25212716:-	17724
SAMPLE_000310	FRAG_000310	hg19:11:112535762-112634234:+	98473
SAMPLE_000311	FRAG_000311	hg38:7:145796166-145813987:-	17822
SAMPLE_000312	FRAG_000312	hg19:17:74156003-74222273:+	66271
SAMPLE_000313	FRAG_000313	hg38:9:80226429-80290084:-	63656
SAMPLE_000314	FRAG_000314	hg19:4:21213018-21274902:+	61885
SAMPLE_000315	FRAG_000315	hg38:8:195405442-195494588:-	89147
SAMPLE_000316	FRAG_000316	hg19:18:25240492-25288933:-	48442
SAMPLE_000317	FRAG_000317	hg38:1:145035033-145070195:+	35163
SAMPLE_000318	FRAG_000318	hg19:15:181610992-181659802:-	48811
SAMPLE_000319	FRAG_000319	hg38:19:172409263-172459703:-	50441
SAMPLE_000320	FRAG_000320	hg19:4:63766089-63855040:-	88952
SAMPLE_000321	FRAG_000321	hg38:1:151701646-151783350:-	81705
SAMPLE_000322	FRAG_000322	hg19:20:174852863-174882377:+	29515
SAMPLE_000323	FRAG_000323	hg38:21:189193969-189255320:-	61352
SAMPLE_000324	FRAG_000324	hg19:21:32319958-32373973:+	54016
SAMPLE_000325	FRAG_000325	hg38:2:82702244-82707620:-	5377
SAMPLE_000326	FRAG_000326	hg19:4:64028652-64041890:+	13239
SAMPLE_000327	FRAG_000327	hg38:13:100592645-100652603:-	59959
SAMPLE_000328	FRAG_000328	hg19:19:196044974-196142763:+	97790
SAMPLE_000329	FRAG_000329	hg38:14:27580917-27667257:-	86341
SAMPLE_000330	FRAG_000330	hg19:20:76092173-76146164:+	53992
SAMPLE_000331	FRAG_000331	hg38:X:59322886-59371951:-	49066
SAMPLE_000332	FRAG_000332	hg19:15:98357793-98389239:+	31447
SAMPLE_000333	FRAG_000333	hg38:22:147153940-147202586:-	48647
SAMPLE_000334	FRAG_000334	hg19:2:75056361-75109044:+	52684
SAMPLE_000335	FRAG_000335	hg38:4:25608396-25668495:+	60100
SAMPLE_000336	FRAG_000336	hg19:21:161295147-161379465:+	84319
SAMPLE_000337	FRAG_000337	hg38:2:66382526-66426738:+	44213
SAMPLE_000338	FRAG_000338	hg19:19:19417397-19444792:+	27396
SAMPLE_000339	FRAG_000339	hg38:19:63545106-63573910:-	28805
SAMPLE_000340	FRAG_000340	hg19:5:1761162-1839777:-	78616
SAMPLE_000341	FRAG_000341	hg38:5:146012983-146030520:-	17538
SAMPLE_000342	FRAG_000342	hg19:6:178451308-178466215:+	14908
SAMPLE_000343	FRAG_000343	hg38:5:97164928-97167374:+	2447
SAMPLE_000344	FRAG_000344	hg19:19:5236202-5279138:+	42937
SAMPLE_000345	FRAG_000345	hg38:9:35026486-35033853:-	7368
SAMPLE_000346	FRAG_000346	hg19:17:18061230-18076625:-	15396
SAMPLE_000347	FRAG_000347	hg38:15:138771264-138819216:+	47953
SAMPLE_000348	FRAG_000348	hg19:15:60471808-60538346:+	66539
SAMPLE_000349	FRAG_000349	hg38:Y:140975995-141062857:-	86863
SAMPLE_000350	FRAG_000350	hg19:15:9361936-9446758:+	84823
SAMPLE_000351	FRAG_000351	hg38:16:115426953-115480092:+	53140
SAMPLE_000352	FRAG_000352	hg19:16:120067856-120161730:+	93875
SAMPLE_000353	FRAG_000353	hg38:3:164288597-164331315:+	42719
SAMPLE_000354	FRAG_000354	hg19:3:74824044-74841083:-	17040
SAMPLE_000355	FRAG_000355	hg38:13:143420266-143499066:-	78801
SAMPLE_000356	FRAG_000356	hg19:15:163518017-163584779:-	66763
SAMPLE_000357	FRAG_000357	hg38:4:31712792-31805274:+	92483
SAMPLE_000358	FRAG_000358	hg19:14:62335777-62395462:-	59686
SAMPLE_000359	FRAG_000359	hg38:11:108033318-108093258:-	59941
SAMPLE_000360	FRAG_000360	hg19:Y:84899059-84912021:-	12963
SAMPLE_000361	FRAG_000361	hg38:11:69421458-69509134:-	87677
SAMPLE_000362	FRAG_000362	hg19:5:128310317-128400839:+	90523
SAMPLE_000363	FRAG_000363	hg38:3:26026264-26037951:-	11688
SAMPLE_000364	FRAG_000364	hg19:4:199319041-199417134:-	98094
SAMPLE_000365	FRAG_000365	hg38:5:17101021-17174444:-	73424
SAMPLE_000366	FRAG_000366	hg19:22:111275603-111292123:-	16521
SAMPLE_000367	FRAG_000367	hg38:22:114531247-114630087:+	98841
SAMPLE_000368	FRAG_000368	hg19:10:84872363-84951558:-	79196
SAMPLE_000369	FRAG_000369	hg38:4:137207519-137283766:+	76248
SAMPLE_000370	FRAG_000370	hg19:5:130436731-130523309:+	86579
SAMPLE_000371	FRAG_000371	hg38:4:150321376-150367765:-	46390
SAMPLE_000372	FRAG_000372	hg19:4:155108797-155145808:+	37012
SAMPLE_000373	FRAG_000373	hg38:14:167892712-167966737:+	74026
SAMPLE_000374	FRAG_000374	hg19:20:187152254-187238976:-	86723
SAMPLE_000375	FRAG_000375	hg38:1:74355461-74379607:-	24147
SAMPLE_000376	FRAG_000376	hg19:11:2639010-2685518:+	46509
SAMPLE_000377	FRAG_000377	hg38:5:177454606-177529333:-	74728
